case,event,startTime,completeTime,Variant,elementId,resourceId,Variant index,resourceCost,processId,Start Timestamp,fixedCost,Resource
0,START,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
0,END,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
1,START,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-7E063660-AF89-4E86-906B-E703580F1C75,,7,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
1,CHECK DATA BALANCING,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-B48DF955-D774-4256-AEB6-099744469155,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000001
1,CHECK COVERAGE,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-84855BE7-4A74-4AA7-A950-22E81A38081C,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000002
1,SET NUMBER OF ITERATIONS,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-7D343CDC-849C-4479-9343-9EF1E02C5042,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000003
1,CHECK VALIDATION RESULTS,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000004
1,CHECK TEST RESULTS,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-3F3477CA-2154-443D-990D-BA61AA0EEDD2,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000006
1,CONFIGURE INGESTION SYSTEM,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000009
1,CONFIGURE PREPARATION SYSTEM,12/9/2025 10:00,12/9/2025 10:00,Variant 7,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000003
