Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
60,START,,2025-12-09 10:01:00.000,2025-12-09 10:01:00.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
60,END,,2025-12-09 10:01:00.000,2025-12-09 10:01:00.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
61,START,,2025-12-09 10:01:01.000,2025-12-09 10:01:01.000,Variant 3,3,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
61,CHECK DATA BALANCING,Session-000001,2025-12-09 10:01:01.000,2025-12-09 10:01:02.000,Variant 3,3,sid-B48DF955-D774-4256-AEB6-099744469155,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CHECK COVERAGE,Session-000004,2025-12-09 10:01:02.000,2025-12-09 10:01:03.000,Variant 3,3,sid-84855BE7-4A74-4AA7-A950-22E81A38081C,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE INGESTION SYSTEM,Session-000008,2025-12-09 10:01:03.000,2025-12-09 10:01:04.000,Variant 3,3,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE PREPARATION SYSTEM,Session-000002,2025-12-09 10:01:04.000,2025-12-09 10:01:05.000,Variant 3,3,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE SEGREGATION SYSTEM,Session-000007,2025-12-09 10:01:05.000,2025-12-09 10:01:06.000,Variant 3,3,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE DEVELOPMENT SYSTEM,Session-000002,2025-12-09 10:01:06.000,2025-12-09 10:01:07.000,Variant 3,3,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE CLASSIFICATION SYSTEM,Session-000006,2025-12-09 10:01:07.000,2025-12-09 10:01:08.000,Variant 3,3,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE EVALUATION SYSTEM,Session-000010,2025-12-09 10:01:08.000,2025-12-09 10:01:09.000,Variant 3,3,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
